first_seen_utc,sha256_hash,md5_hash,sha1_hash,reporter,file_type_guess,mime_type,signature,clamav,vtpercent,imphash,ssdeep,tlsh
17/09/2021 6:39,eeac61bec20e05be50b2310caa109453e28a304f5825cf37e60f1ee9318f8f36,8a5a5aedebf8bcb0dc9a77e9d5cc37d5,d03062da68aebf12945d748ca4fff6582b7e7b61,zbetcheckin,exe,application/x-dosexec,n/a,n/a,43.48,f34d5f2d4577ed6d9ceec516c1f5a744,12288:TcinWHCM2K4C2fut2I2U9WLDQ9RnX/lmSG02h8W62NtYy:TR3CBtNTpWNT6y,T134A4C0203AFA9015F1B3AFB98ED575969B6EF7633603E51E2490038B0613F81DE8157E
17/09/2021 6:28,af03c9b6b8071b93b93f5ae4a1a7d72d9a1c2375721b811b58b6063bb841d3c4,e57b89e48c852d5c96d85e0f02ab666b,32357f21f2bef531efb4d44791bd0edb3e82e5be,cocaman,r00,application/x-rar,n/a,n/a,55.93,n/a,12288:3b1f+WVBULxM6IdO6r1uH38W9D+4ncY2BdcvwGqIg3/FTj32c4zWKO:rB+s8eOOI38z4cXSwKg3p7Vx,T1B4D423DF86D730F97196CFCE23860A7E845A27BDA7313AC50205FBE574A141122B8E5E
17/09/2021 6:27,233c7553629383a82726f26e3346459be5f9b02e7ffc132dcf81e5f432db6abe,ce43277006ecc9a7de73b259a4f9db18,38961eafd6416fe3ae472af6677621490c01cf65,GovCERT_CH,exe,application/x-dosexec,n/a,n/a,53.23,f34d5f2d4577ed6d9ceec516c1f5a744,12288:lH1rtcf9uFvwrp+8uGqARQi1+3lwbcSpsPP7r9r/+ppppppppppppppppppppppJ:VzF8oQXSi1Oevw1q,T16B45EC38ED0A22B7EBA5D334E0BA581AA1F51CBB33308D1DD9D6764E1937603709636D
17/09/2021 6:25,46f7b62025cf8b4928f64098f41c3c0dbe1d401f6e84613eaeefeb734d7870ae,42cedf5ac623661c55e259319df546a7,fe27f814779aa09fe704e75ab1b2539bb04e7550,zbetcheckin,exe,application/x-dosexec,n/a,n/a,56.52,f34d5f2d4577ed6d9ceec516c1f5a744,12288:0jdRStsZZzk8/dRStsZZzkldRStsZZzkbgoPYj3YnSn93kEcnVAcx6lQr1Mjg9W2:NCdktCdkiCdkbkjInJmcIlQGjZCRClk,T1DA7579A92363AC2AF31B04BB1473B00BD5617B8DDC14B7652D39367A51AE371B1F4B82
17/09/2021 6:19,27ea7444d3d81bddc02f400fec45e0e4e7b71ac6446974c093a5fd73b667a6f6,e817cd4ef0aa4bf8adfce60d39a75367,07fe6d03473d566e7b1e5c0aa12453f2896218e3,cocaman,zip,application/zip,n/a,n/a,46.88,n/a,12288:sULkUtcX1J7ygKXcNxa64qnYDNWXpcJyQPRI8rv:sUL9tcFJ7ygAcUWsyiRI87,T149A42311209DA1BCFE81886F17D7AD62F3CA2E5426B67F40824427B82FD8E564FF494D
17/09/2021 6:19,c3e5dbfa12133729e4035debea8f847a93d19a3474a01e3c6a249d0805bc30aa,07df431cb5a6264cd3ea9d17146d0905,13c5f3ab8cf5edbbfc11999e900586afc677e7ed,cocaman,rar,application/x-rar,n/a,n/a,10.71,n/a,768:dLt2gJbT/5wQu2rNnFfIr8t7sJmn3P5DBlyF8yPyeJ8YH+Rs+FWYQw+6VzBTPv7r:L3JbTBwQuA5Fm86+dBlyFzyeJ8U+FWYj,T1F61302834697D5F638BB97C9781842BC88A4F370BA19FB11E5F801935F45294FA884FC
17/09/2021 6:17,05a53e2be383e030568c52470368baef5ea6da1bf6a27bbc6921173457c10bf7,bce39e03327c0eed288342e7162b109a,45d8e3c5080b97be3b048849d8ec815c03603dd5,GovCERT_CH,exe,application/x-dosexec,n/a,n/a,32.84,f34d5f2d4577ed6d9ceec516c1f5a744,12288:dYWWHCM2K4CUY4lbFe5h5LtEjthcgbdQtAa+xaan:J3CUH9KLOTFtxa+,T180A4C0243AFE511DF173AF794AE475D69ABEBB333B06D45D1451038A4A22B81CEC063B
17/09/2021 6:14,119e235f169c2ded4c5dbbd7c77efbb5556f83eaaf206fc159b3a45076e7b585,54ef5b5d359142f0aae23f0594d508de,3156bf5734e432cb373349c4431b68ff58043944,cocaman,xlsx,application/encrypted,n/a,n/a,33.9,n/a,12288:vjBID6xsmQECVwPvjY/P5vaDx9r4A7Pm6r0c8Ayfk4MwzqEj:a5nGahKx9lrVr0nAT10j,T18CD4F1120FDE441AC78FB0BCD7199CCB76A6CD4C5B5845F2127D76AA2E34232E38817A
17/09/2021 6:13,20031af3eb2986d6c2d020f9c70f399a88dc769d9f3bf485759490654c3cf5fb,1cb73bf5f14a619aa5ff6564b8e0b3cc,61a23b298d338c609547526ee2309c44ce02c80d,cocaman,zip,application/zip,n/a,n/a,49.21,n/a,12288:9ULkUtcX1J7ygKXcNxa64qnYDNWXpcJyQPRI8rA:9UL9tcFJ7ygAcUWsyiRI8s,T1BDA42311209DA1BCFE81886F17D39D62F3CA2E5526B67F40824427B82FD8E564FF454D
17/09/2021 6:12,8117405a4dfe0e21ae2064f1a129da59dbc31d3830967e43e0b63f9c52b058c1,32240716f56a089ce49fcd044d20d7e8,fb8ea0782fd0a016608e456882b2a0fafe978405,zbetcheckin,exe,application/x-dosexec,n/a,n/a,29.41,f34d5f2d4577ed6d9ceec516c1f5a744,24576:G+oELLuVzvLM223WfM8oFJYEVOdsCDd3lF4iDWz3lbWaDTvT:hoEfkzDM2sL862tDd3AQWz1blPr,T1052512A82710AA66DADE0F73C1234589D330A5665742F40F79D6A2D73EB2ACFB5050CF
